aX,aY,aZ,gX,gY,gZ
-0.543,0.572,-1.414,44.739,132.751,-305.481
-0.646,0.370,-1.560,87.769,88.135,-338.257
-0.766,0.085,-1.792,129.456,34.363,-329.773
-0.749,0.070,-1.875,172.546,-125.244,-294.495
-0.624,0.083,-1.860,159.363,-207.703,-284.058
-0.559,0.056,-1.757,97.534,-316.406,-268.433
-0.396,-0.002,-1.508,66.040,-343.384,-257.690
-0.300,-0.075,-1.357,19.348,-371.643,-228.088
0.000,-0.245,-1.039,7.751,-370.483,-208.191
0.101,-0.248,-0.928,-15.381,-333.313,-161.194
0.127,-0.224,-0.831,-45.044,-312.195,-141.235
0.134,-0.293,-0.795,-82.642,-298.401,-124.146
0.243,-0.400,-0.710,-134.949,-298.950,-93.079
0.259,-0.414,-0.616,-140.015,-305.237,-80.200
0.298,-0.424,-0.523,-132.263,-304.443,-62.195
0.330,-0.495,-0.375,-125.793,-299.561,-51.147
0.355,-0.517,-0.319,-99.121,-282.959,-21.240
0.387,-0.439,-0.274,-89.722,-273.499,-9.277
0.330,-0.384,-0.247,-113.281,-259.827,10.315
0.383,-0.483,-0.103,-140.747,-261.841,24.048
0.387,-0.622,0.056,-152.283,-260.010,58.411
0.276,-0.728,0.405,-127.625,-245.728,80.261
0.296,-0.661,0.522,-77.698,-217.468,128.784
0.380,-0.388,0.629,-80.017,-205.627,154.236
0.341,-0.280,0.708,-135.742,-163.147,203.796
0.525,-0.189,0.913,-154.419,-126.465,226.562
0.489,-0.035,0.976,-152.283,-88.989,247.009
0.494,0.217,1.031,-127.380,-4.517,274.353
0.677,0.804,0.987,-123.840,54.504,263.306
0.680,1.026,0.812,-150.269,190.674,190.063
0.597,1.204,0.432,-172.302,253.540,160.950
0.573,1.175,0.294,-173.462,362.915,141.602
0.431,1.050,0.056,-132.141,403.381,122.070
0.303,1.002,-0.106,6.470,422.241,30.884
0.246,0.926,-0.421,72.327,408.264,-23.193
0.283,0.942,-0.527,131.714,390.198,-72.510
0.350,1.003,-0.619,212.036,363.159,-161.865
0.286,1.153,-0.815,206.787,351.379,-199.158
0.257,1.082,-0.884,102.661,320.923,-226.929
0.216,0.546,-0.984,47.485,300.537,-210.693
0.201,0.262,-1.040,0.305,228.027,-123.535
0.268,-0.033,-1.095,-4.395,178.772,-80.505
0.308,-0.099,-1.060,-2.625,105.469,-34.668
0.399,-0.091,-1.003,-0.916,95.032,-24.841
0.423,-0.084,-1.019,-9.277,99.487,-14.771
0.414,-0.169,-1.132,-61.218,129.272,17.639
0.408,-0.243,-1.179,-97.412,145.142,39.978
0.384,-0.317,-1.182,-151.306,170.715,81.055
0.301,-0.376,-1.102,-155.762,177.307,97.351
0.260,-0.350,-1.047,-110.596,174.866,112.854
0.125,-0.131,-1.037,-70.618,166.748,107.910
0.053,0.035,-1.105,-10.193,121.765,68.176
-0.127,0.305,-1.268,-1.343,95.581,48.828
-0.187,0.404,-1.356,-26.123,72.815,44.556
-0.194,0.417,-1.394,-50.720,71.289,49.377
-0.169,0.350,-1.346,-73.303,69.580,46.997
-0.141,0.270,-1.296,-59.265,64.575,36.194
-0.133,0.254,-1.293,-31.616,53.833,20.935
-0.129,0.258,-1.296,32.349,24.048,-0.244
-0.106,0.397,-1.312,47.302,11.353,-0.549
-0.081,0.465,-1.292,12.817,-6.836,2.930
-0.017,0.372,-1.178,-20.203,-10.803,2.014
0.007,0.255,-1.131,-48.035,-7.690,-1.587
0.022,0.097,-1.088,-36.621,-6.165,-2.563
0.030,0.087,-1.073,2.686,-9.399,-1.953
0.050,0.183,-1.052,15.503,-11.353,-1.709
0.054,0.233,-1.043,8.911,-13.184,-2.441
0.073,0.234,-1.010,-6.348,-12.573,-1.709
0.084,0.195,-0.984,-31.799,-3.967,0.427
0.080,0.140,-0.983,-34.851,1.038,1.221
0.074,0.132,-0.991,-33.142,3.052,2.380
0.069,0.125,-0.972,-22.705,3.845,3.479
0.072,0.136,-0.960,-15.930,5.371,2.380
0.075,0.139,-0.973,-10.437,5.676,-0.244
0.086,0.120,-0.974,-12.085,6.226,-0.977
0.078,0.110,-0.965,-16.724,10.010,-1.343
0.063,0.121,-0.961,-19.653,10.132,-0.977
0.067,0.125,-0.957,-24.597,7.935,-2.014
0.087,0.104,-0.944,-24.658,8.850,-3.784
0.089,0.091,-0.949,-23.315,11.353,-5.676
0.057,0.069,-0.979,-19.104,15.015,-7.751
0.045,0.069,-0.990,-18.005,14.771,-6.897
0.041,0.068,-0.991,-21.790,13.062,-3.418
0.043,0.052,-0.983,-24.170,13.367,-2.441
0.034,0.039,-0.989,-21.484,16.785,-4.028
0.004,0.018,-1.004,-16.296,17.517,-4.822
-0.001,0.020,-1.003,-4.578,15.930,-3.479
0.003,0.053,-1.000,-0.854,14.771,-2.197
-0.001,0.070,-1.000,-3.601,10.803,0.305
-0.007,0.074,-0.988,-8.362,7.996,0.793
-0.005,0.066,-0.984,-12.817,3.601,-1.038
0.008,0.057,-0.979,-10.315,4.517,-1.770
0.007,0.063,-0.981,-5.920,8.118,-2.197
-0.015,0.083,-0.996,-0.488,15.686,-2.563
-0.022,0.092,-1.006,-2.075,15.991,-2.014
-0.021,0.092,-1.013,-10.620,10.986,-2.502
-0.014,0.059,-1.006,-13.123,8.850,-3.906
