aX,aY,aZ,gX,gY,gZ
-0.231,-0.295,2.211,-10.559,215.210,-85.999
-0.237,-0.244,2.206,-20.813,300.842,-52.673
-0.281,-0.559,2.139,-36.560,344.482,-36.377
-0.321,-0.721,2.124,-78.857,429.749,19.226
-0.416,-0.671,2.284,-85.510,469.788,54.871
-0.515,-0.550,2.291,-39.001,586.243,104.919
-0.658,-0.027,1.596,-4.578,652.893,113.586
-0.719,0.288,1.077,16.052,699.280,104.248
-0.704,0.306,0.666,-70.251,735.229,39.063
-0.603,0.026,-0.016,-135.071,730.835,19.836
-0.627,-0.191,0.047,-200.073,698.059,0.427
-0.564,-0.292,0.186,-155.640,711.670,14.404
-0.458,-0.055,-0.359,153.748,728.638,66.956
-0.073,0.550,-1.681,296.692,645.081,109.497
0.226,0.840,-1.412,262.634,328.308,107.178
0.176,0.397,-0.263,221.313,235.413,54.016
-0.131,0.033,-0.246,179.321,255.066,6.226
-0.445,-0.175,-1.139,140.991,281.311,26.855
-0.418,0.012,-1.425,94.238,266.174,63.232
-0.344,0.197,-1.238,22.888,163.940,104.858
-0.370,0.409,-0.992,28.198,153.015,99.243
-0.423,0.432,-1.254,57.068,154.175,76.355
-0.447,0.322,-1.475,58.289,123.230,67.871
-0.363,0.300,-1.281,46.692,45.593,56.824
-0.077,0.483,-0.958,44.067,34.424,46.387
0.015,0.545,-0.976,40.283,43.030,17.151
0.091,0.531,-1.146,39.124,46.143,4.578
0.139,0.516,-1.267,40.161,44.678,0.854
0.190,0.630,-1.332,37.964,12.756,10.437
0.243,0.917,-1.291,37.109,-10.925,4.028
0.267,0.943,-1.119,22.705,-48.767,-26.550
0.233,0.734,-0.593,8.972,-46.936,-42.236
0.202,0.607,-0.529,-6.470,9.338,-53.955
0.180,0.591,-1.167,-9.094,29.907,-48.035
0.193,0.647,-1.354,-22.461,-10.681,-37.354
0.163,0.569,-1.292,-28.381,-42.542,-40.588
0.108,0.472,-1.258,-32.959,-72.083,-45.715
0.051,0.402,-1.161,-39.001,-135.498,-53.223
0.008,0.405,-0.969,-27.649,-156.860,-56.702
0.029,0.395,-1.011,10.742,-180.725,-57.617
0.134,0.334,-0.828,17.395,-185.974,-48.279
0.187,0.382,-0.833,20.630,-164.307,-29.724
0.226,0.607,-1.236,16.785,-165.222,-30.273
0.201,0.715,-1.381,-11.719,-236.511,-61.035
0.090,0.674,-1.190,-30.457,-286.255,-85.937
0.030,0.543,-1.057,-50.781,-351.135,-119.324
0.030,0.344,-0.996,-62.317,-368.835,-114.990
0.112,0.375,-0.908,-83.435,-401.306,-67.200
0.302,0.565,-0.661,-68.481,-416.199,-45.593
0.319,0.627,-0.591,-30.151,-428.101,-42.175
0.287,0.611,-0.488,13.550,-441.284,-86.121
0.190,0.325,-0.316,10.010,-436.707,-107.666
0.204,0.283,-0.269,-21.057,-457.947,-104.492
0.297,0.553,0.071,-18.311,-487.305,-98.083
0.281,0.629,0.307,27.222,-504.883,-122.192
0.073,0.407,0.540,28.259,-485.046,-145.691
-0.061,0.199,0.616,-18.005,-431.824,-163.696
-0.245,0.044,0.766,-31.311,-417.847,-151.001
-0.294,0.111,0.960,-21.240,-436.768,-135.864
-0.331,0.080,1.436,3.052,-437.866,-145.996
-0.307,-0.029,1.599,20.508,-415.894,-158.142
-0.199,-0.131,1.521,-12.939,-317.505,-154.663
-0.189,-0.055,1.406,-57.678,-269.043,-136.597
-0.248,0.145,1.435,-92.773,-250.549,-103.882
-0.458,0.080,1.900,-45.532,-259.705,-117.920
-0.502,-0.396,1.856,44.006,-209.167,-137.878
-0.295,-0.474,1.390,15.625,-171.692,-104.309
-0.172,0.011,1.309,-93.445,-114.319,-64.209
-0.188,0.397,1.210,-111.328,-97.412,-83.496
-0.290,0.175,1.340,-44.128,-106.445,-112.488
-0.380,-0.424,1.346,4.883,-101.746,-101.257
-0.299,-0.412,1.143,7.324,-72.754,-48.157
-0.221,-0.045,1.148,-25.024,-66.711,-31.006
-0.262,0.034,1.188,-33.325,-57.373,-28.381
-0.307,-0.107,1.158,-19.836,-61.584,-31.067
-0.283,-0.176,1.205,1.587,-63.171,-18.433
-0.201,-0.081,1.147,7.935,-54.932,-6.226
-0.177,0.008,1.148,6.531,-49.316,0.854
-0.160,0.030,1.205,-1.770,-34.546,-3.296
-0.120,0.025,1.061,-0.427,-18.066,-4.333
-0.099,0.058,0.919,-4.272,-7.568,-5.920
-0.098,0.052,0.966,-8.118,-13.977,-8.240
-0.104,0.060,0.950,-0.427,-16.357,-8.484
-0.110,0.092,0.947,4.517,-18.921,-7.935
-0.104,0.078,0.972,10.986,-16.968,-7.446
-0.107,0.031,0.955,8.972,-14.099,-7.263
-0.123,-0.001,0.964,-0.488,-9.827,-6.775
-0.118,0.062,0.952,-2.380,-8.057,-5.493
-0.126,0.083,1.003,-3.052,-8.057,-6.165
-0.145,0.049,1.010,0.427,-2.563,-8.850
-0.147,0.008,0.974,0.916,-0.549,-7.324
-0.139,0.017,0.974,2.197,2.197,-4.578
-0.140,0.011,0.953,4.028,1.587,-3.418
