aX,aY,aZ,gX,gY,gZ
0.095,0.807,2.070,-139.465,182.007,-20.203
0.061,0.766,2.397,-88.806,281.311,-49.866
0.071,0.693,3.154,-83.984,348.572,-54.687
0.067,0.839,3.686,-107.117,517.883,-56.335
-0.296,1.602,4.000,-109.070,626.221,-69.458
-0.633,1.834,4.000,-49.133,828.003,-132.812
-1.191,1.274,3.183,-2.808,888.061,-161.682
-1.376,0.871,2.533,1.160,927.612,-171.631
-1.669,0.491,1.435,-16.235,929.687,-170.410
-1.878,0.249,0.920,-3.296,937.561,-178.528
-2.082,-0.195,0.381,121.765,947.571,-148.437
-2.016,-0.647,-0.971,121.155,919.556,-79.285
-1.894,-0.342,-1.152,78.003,816.040,52.734
-2.006,0.307,-0.625,126.526,779.236,70.557
-2.381,0.211,-0.464,162.598,671.326,39.551
-3.191,-0.630,-0.753,150.574,587.891,28.076
-3.372,-0.762,-1.236,129.089,398.010,71.533
-2.943,0.198,-2.089,95.276,298.889,95.764
-2.455,0.662,-1.970,53.345,103.943,80.444
-1.366,0.716,-0.802,20.996,37.842,52.307
-0.737,0.545,-0.404,-27.222,9.827,21.057
-0.050,0.365,-0.258,-70.068,27.710,-9.460
0.935,0.325,-0.215,-51.880,51.392,-1.831
0.870,0.509,-0.163,3.479,94.727,13.428
0.048,0.771,-0.334,23.743,113.403,-1.709
-0.412,0.715,-0.642,44.006,134.399,-52.063
-1.204,0.381,-1.336,46.936,117.859,-64.209
-1.318,0.320,-1.455,2.502,50.964,-38.391
-1.105,0.354,-0.906,-32.471,22.095,-15.991
-0.870,0.379,-0.505,-97.900,14.954,12.695
-0.432,0.445,-0.609,-100.281,27.161,8.667
-0.474,0.437,-0.919,-73.792,28.809,-1.953
-0.662,0.442,-1.104,-12.573,-4.456,-17.761
-1.115,0.616,-1.034,2.991,-25.330,-23.743
-1.301,0.744,-1.123,32.776,-83.740,-48.645
-1.840,1.016,-1.667,47.974,-139.526,-65.491
-2.309,1.160,-1.830,20.630,-299.072,-106.995
-3.265,1.386,-1.832,-19.531,-387.085,-132.385
-3.552,1.459,-1.828,-159.546,-563.538,-177.185
-3.823,1.302,-2.044,-243.225,-657.898,-195.557
-3.874,0.999,-2.245,-388.611,-859.253,-175.598
-3.985,0.461,-2.402,-460.083,-960.266,-103.882
-4.000,0.515,-2.025,-561.768,-1103.760,168.701
-4.000,1.483,-0.569,-550.537,-1126.831,304.382
-3.999,1.704,0.289,-146.362,-1299.621,347.107
-3.999,0.283,3.490,163.391,-1454.346,225.769
-3.996,-0.149,4.000,235.107,-1484.924,107.422
-3.632,0.340,4.000,-290.283,-966.309,127.808
-1.791,1.624,3.656,-441.284,-639.282,152.222
-1.494,1.460,2.898,-343.201,-396.301,119.568
-1.166,1.066,3.248,-215.515,-434.448,128.906
-0.616,0.991,3.936,-16.296,-330.994,118.591
0.150,0.556,2.867,-33.997,-190.979,94.604
0.137,0.472,1.436,-129.150,-80.994,94.055
0.043,1.040,0.531,-71.167,-127.869,104.126
0.047,1.214,0.989,30.701,-172.424,91.431
-0.076,0.838,1.315,149.841,-142.944,17.700
-0.094,0.618,1.286,170.593,-103.088,-5.676
-0.058,0.454,1.313,163.696,-58.960,-10.803
-0.037,0.350,1.271,109.558,-54.504,-0.671
-0.073,0.473,1.323,-12.024,-61.096,24.719
-0.145,0.608,1.303,-22.827,-56.824,31.921
-0.222,0.496,1.181,46.570,-22.949,36.682
-0.122,0.311,1.053,69.824,-9.094,49.561
-0.058,0.523,0.932,14.648,19.043,65.247
-0.075,0.898,0.743,9.155,17.029,50.476
-0.073,0.902,0.884,26.917,4.395,25.879
-0.081,0.724,1.016,51.636,-6.958,-19.470
-0.116,0.220,0.978,45.837,-3.113,-22.583
-0.101,0.148,0.944,10.437,3.357,6.165
-0.096,0.346,0.887,-8.484,4.883,21.240
-0.094,0.455,0.859,-15.564,2.808,25.635
-0.125,0.499,0.920,-12.756,0.244,20.752
-0.131,0.459,0.964,10.010,2.380,11.963
-0.116,0.381,0.959,6.042,7.812,10.803
-0.110,0.375,0.881,-10.315,13.428,11.108
-0.116,0.382,0.813,-23.010,13.489,10.559
-0.123,0.422,0.824,-7.324,9.583,9.033
-0.119,0.437,0.865,9.399,4.211,5.188
-0.107,0.410,0.880,2.930,4.700,3.357
-0.096,0.401,0.848,-23.499,5.432,4.028
-0.093,0.414,0.836,-31.860,3.479,4.883
-0.103,0.406,0.856,-35.461,0.244,6.714
-0.113,0.412,0.919,-36.072,1.831,7.751
-0.110,0.419,0.894,-36.560,5.188,8.362
-0.112,0.424,0.842,-15.381,5.676,9.460
-0.112,0.449,0.852,-4.272,3.540,10.010
-0.107,0.458,0.875,-12.390,3.296,8.301
-0.107,0.459,0.828,-20.142,2.930,6.226
-0.111,0.459,0.835,-16.113,-2.625,3.479
-0.113,0.435,0.913,-13.489,-3.052,3.235
-0.110,0.427,0.909,-13.977,2.258,2.197
-0.114,0.460,0.884,-11.658,4.456,2.930
-0.108,0.472,0.901,-8.301,6.104,4.028
-0.100,0.461,0.910,-5.798,10.864,4.944
-0.096,0.444,0.841,-9.949,12.329,6.836
-0.090,0.464,0.802,-12.817,7.385,9.216
-0.084,0.479,0.814,-5.127,3.052,7.385
-0.090,0.469,0.856,12.146,0.671,2.991
-0.098,0.433,0.879,18.677,2.563,2.075
-0.095,0.429,0.865,19.653,4.211,3.113
-0.093,0.464,0.873,10.193,4.578,3.174
-0.102,0.473,0.863,-0.366,4.822,2.197
-0.109,0.473,0.857,-9.277,0.732,1.404
-0.105,0.458,0.869,-5.249,-0.854,1.160
-0.101,0.441,0.870,7.141,0.061,0.427
-0.100,0.454,0.859,12.024,0.366,1.038
-0.102,0.468,0.861,22.095,-0.732,-1.099
-0.104,0.452,0.877,24.475,-0.793,-4.211
-0.100,0.416,0.860,11.047,1.953,-6.958
-0.101,0.406,0.835,-2.197,1.160,-4.333
-0.107,0.423,0.848,-11.353,-0.916,-0.854
-0.113,0.435,0.883,-8.057,-4.333,2.808
-0.114,0.459,0.896,-7.202,-5.615,3.723
-0.112,0.470,0.892,3.235,-3.601,0.854
-0.100,0.423,0.854,10.132,-1.892,-1.526
-0.098,0.398,0.865,2.869,-0.305,-1.282
-0.100,0.406,0.882,-5.615,1.038,0.183
-0.107,0.423,0.868,-7.629,1.587,3.174

-0.143,0.885,2.006,33.630,317.322,-63.477
-0.178,0.770,2.175,56.946,435.303,-92.834
-0.214,0.653,2.655,44.739,490.845,-95.337
-0.245,0.721,2.945,6.653,617.065,-102.173
-0.270,0.859,3.281,20.874,684.265,-103.699
-0.299,0.986,3.569,25.879,823.547,-111.328
-0.827,0.900,3.823,42.480,915.100,-117.187
-0.896,0.693,3.297,81.055,1007.446,-111.816
-0.758,0.464,1.747,93.018,1074.646,-86.548
-0.720,0.519,1.139,38.147,1053.650,-81.665
-0.853,0.526,0.808,0.610,994.690,-90.637
-1.448,0.226,0.382,44.006,978.516,-84.717
-1.859,0.052,0.229,86.182,959.473,-41.382
-2.578,-0.349,0.296,86.609,936.096,-5.249
-2.827,-0.464,0.535,53.955,827.209,86.365
-3.267,-0.242,0.895,35.767,749.878,125.305
-3.592,0.159,0.477,4.028,536.682,121.704
-3.831,1.289,-2.609,162.659,335.449,48.157
-3.346,0.626,-1.499,272.705,112.427,-22.766
-3.036,-0.473,1.049,-225.098,-100.464,-37.109
-1.115,-0.789,0.685,-208.313,-53.711,-25.330
0.320,-0.237,-1.878,198.730,33.325,-22.949
1.648,0.658,-2.337,184.875,-50.232,-30.945
1.412,0.766,-0.445,-13.977,-115.845,-39.246
0.284,0.528,1.197,-21.240,-30.457,-47.852
-0.290,0.372,0.493,28.137,116.638,-33.020
-1.112,0.411,-1.338,23.682,104.126,-7.141
-1.282,0.570,-1.736,-0.305,-17.944,26.367
-1.242,0.512,-1.030,5.493,-54.565,13.184
-0.963,0.330,-0.494,18.066,-50.720,-13.794
-0.539,0.031,-0.540,29.846,-1.038,-51.514
-0.456,0.017,-0.933,28.870,10.315,-46.997
-0.401,0.088,-1.176,33.081,-12.756,-10.132
-0.333,0.397,-0.803,31.799,-27.344,11.292
-0.321,0.606,-0.536,19.409,-7.690,20.691
-0.441,0.755,-0.573,13.184,13.977,4.089
-0.570,0.604,-0.794,-0.610,28.137,-24.292
-0.839,0.290,-0.941,-6.775,18.372,-24.231
-0.896,0.292,-0.838,-12.268,-5.493,-10.681
-1.021,0.493,-0.752,-10.315,-19.348,-11.169
-1.154,0.592,-0.791,-12.146,-62.134,-30.090
-1.579,0.655,-0.829,-20.081,-90.332,-45.532
-1.918,0.595,-0.813,-31.982,-170.044,-81.848
-3.034,0.233,-0.944,-34.119,-234.070,-93.506
-3.647,0.066,-1.234,-33.813,-321.777,-89.966
-4.000,0.360,-2.025,-30.579,-572.266,-30.579
-4.000,0.696,-2.222,-38.940,-726.379,-1.099
-4.000,0.889,-2.244,-64.453,-1009.521,-13.000
-3.990,0.566,-1.631,-77.332,-1121.948,-28.076
-3.676,0.479,-1.240,-116.577,-1314.758,-33.997
-3.797,0.003,-0.860,-132.568,-1457.580,-58.350
-4.000,0.107,0.550,-106.323,-1835.998,41.443
-4.000,0.750,4.000,-33.325,-1951.111,83.801
-4.000,0.556,4.000,-28.076,-1494.934,-1.953
-3.426,0.017,4.000,-103.638,-981.079,-15.076
-2.436,-0.119,3.910,-88.867,-315.308,54.321
-0.801,0.903,3.343,-25.208,-281.677,95.581
-0.371,1.561,3.537,-10.254,-316.162,40.161
-0.096,0.958,3.303,-50.537,-221.741,-17.456
-0.100,0.151,2.249,-55.542,-106.384,-40.588
-0.054,-0.182,1.252,-36.072,-38.269,34.912
-0.044,0.514,0.335,-51.941,-66.772,69.824
-0.089,0.860,0.515,-39.795,-104.553,39.124
-0.266,0.811,1.459,-2.686,-93.750,7.568
-0.306,0.583,1.801,75.439,-25.024,-18.311
-0.215,0.300,1.313,83.191,15.991,-7.751
-0.160,0.362,0.969,26.672,30.701,21.912
-0.135,0.526,0.641,-18.372,13.000,24.597
-0.174,0.647,0.674,-55.969,-13.184,11.719
-0.190,0.582,0.824,-25.391,-11.353,1.038
-0.170,0.423,0.914,14.221,-5.859,-5.859
-0.161,0.311,0.991,42.236,2.747,-0.610
-0.174,0.335,1.051,23.499,6.226,7.751
-0.171,0.423,1.052,-30.640,13.489,15.991
-0.174,0.556,1.028,-49.805,18.921,15.137
-0.175,0.591,0.918,-49.133,31.494,8.423
-0.167,0.464,0.775,-31.372,31.311,3.113
-0.158,0.357,0.769,-13.367,23.376,0.061
-0.144,0.367,0.763,-19.836,18.799,3.601
-0.141,0.430,0.771,-28.564,14.282,6.653
-0.142,0.431,0.804,-28.625,11.169,5.127
-0.143,0.400,0.773,-23.193,14.893,4.517
-0.147,0.398,0.730,-18.860,18.250,8.301
-0.150,0.493,0.757,-19.897,14.587,9.094
-0.147,0.504,0.807,-13.123,4.883,3.601
-0.131,0.454,0.842,-14.099,2.625,1.831
-0.121,0.473,0.815,-27.161,3.662,4.639
-0.131,0.579,0.791,-28.320,4.517,4.944
-0.143,0.558,0.800,-20.935,5.005,2.869
-0.130,0.443,0.840,2.502,5.310,0.061
-0.125,0.452,0.846,3.479,5.981,1.282
-0.128,0.496,0.851,-11.475,7.690,2.014
-0.134,0.521,0.830,-13.611,8.484,0.305
-0.141,0.506,0.766,-4.517,8.179,-0.305
-0.123,0.527,0.643,0.000,3.845,-0.549
-0.117,0.511,0.696,-5.432,-6.592,-3.723
-0.109,0.488,0.805,-12.024,-6.653,-2.319
-0.102,0.503,0.824,-12.268,-6.775,2.808
-0.124,0.578,0.879,-11.475,-7.935,2.686
-0.145,0.587,0.902,-8.789,-8.179,1.160
-0.147,0.547,0.888,4.333,-4.272,-0.488
-0.126,0.463,0.838,2.441,-2.014,0.000
-0.121,0.462,0.849,-5.737,2.380,0.488
-0.120,0.490,0.808,-8.728,3.967,1.404
-0.121,0.516,0.784,-11.353,-1.221,2.319
-0.140,0.550,0.859,-10.986,-4.456,0.916
-0.149,0.531,0.884,-4.700,-2.380,-1.587
-0.144,0.471,0.860,2.319,-0.244,-0.244
-0.129,0.470,0.844,-2.014,2.319,2.258
-0.123,0.487,0.759,-11.353,2.625,2.441
-0.125,0.520,0.737,-13.550,-2.686,6.958
-0.131,0.556,0.810,-3.418,-6.104,6.714
-0.144,0.544,0.850,6.531,-7.751,3.845
-0.155,0.522,0.865,7.019,-6.104,-0.305
-0.152,0.492,0.875,1.892,-4.395,0.549
-0.139,0.492,0.860,-11.230,0.732,1.709
-0.135,0.527,0.783,-14.343,2.136,1.831
-0.135,0.539,0.776,-5.310,1.465,2.747
-0.140,0.544,0.810,-1.282,0.488,3.052

-0.356,0.782,1.694,60.303,201.538,-48.340
-0.384,0.803,1.739,93.018,289.429,-64.575
-0.349,0.699,1.931,93.140,337.219,-73.792
-0.250,0.630,1.971,69.458,436.279,-74.036
-0.278,0.609,1.878,70.435,473.877,-63.660
-0.346,0.671,1.905,77.515,537.231,-48.645
-0.344,0.853,2.143,67.810,571.899,-53.528
